,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,VIQ030,,,,,,,,,,
2,VIQ040,,,,,,,,,,
3,VIQ050A,,,,,,,,,,
4,VIQ050B,,,,,,,,,,
5,VIQ050C,,,,,,,,,,
6,VIQ050D,,,,,,,,,,
7,VIQ050E,,,,,,,,,,
8,VIQ055,,,,,,,,,,
9,VIQ060,,,,,,,,,,
10,VIQ070,,,,,,,,,,
11,VIQ080,,,,,,,,,,
12,VIQ010,,,,,,,,,,
13,VIQ031,,,,,,,,,,
14,VIQ041,,,,,,,,,,
15,VIQ051A,,,,,,,,,,
16,VIQ051B,,,,,,,,,,
17,VIQ051C,,,,,,,,,,
18,VIQ051D,,,,,,,,,,
19,VIQ051E,,,,,,,,,,
20,VIQ056,,,,,,,,,,
21,VIQ061,,,,,,,,,,
22,VIQ071,,,,,,,,,,
23,VIQ081,,,,,,,,,,
24,VIQ017,,,,,,,,,,
25,VIQ090,,,,,,,,,,
26,VIQ100,,,,,,,,,,
27,VIQ310,,,,,,,,,,
28,VIQ320,,,,,,,,,,
