,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,HOD010,,,,,,,,,,
2,HOD030,,,,,,,,,,
3,HOD040,,,,,,,,,,
4,HOD050,,,,,,,,,,
5,HOD060,,,,,,,,,,
6,HOQ065,,,,,,,,,,
7,HOQ070,,,,,,,,,,
8,HOQ080,,,,,,,,,,
9,HOD140,,,,,,,,,,
10,HOD150,,,,,,,,,,
11,HOD160,,,,,,,,,,
12,HOD170,,,,,,,,,,
13,HOD180,,,,,,,,,,
14,HOD190,,,,,,,,,,
15,HOD210,,,,,,,,,,
16,HOD220,,,,,,,,,,
17,HOD011,,,,,,,,,,
18,HOQ011,,,,,,,,,,
19,HOQ040,,,,,,,,,,
20,HOQ230,,,,,,,,,,
21,HOQ240,,,,,,,,,,
22,HOQ250,,,,,,,,,,
23,HOQ260A,,,,,,,,,,
24,HOQ260B,,,,,,,,,,
25,HOQ260C,,,,,,,,,,
26,HOQ270,,,,,,,,,,
27,HOQ280A,,,,,,,,,,
28,HOQ280B,,,,,,,,,,
29,HOQ280C,,,,,,,,,,
30,HOD051,,,,,,,,,,
