,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,AUQ130,,,,,,,,,,
2,AUQ140,,,,,,,,,,
3,AUQ150,,,,,,,,,,
4,AUQ160,,,,,,,,,,
5,AUQ170,,,,,,,,,,
6,AUQ180,,,,,,,,,,
7,AUQ190,,,,,,,,,,
8,AUQ200,,,,,,,,,,
9,AUQ210,,,,,,,,,,
10,AUQ220,,,,,,,,,,
11,AUQ230,,,,,,,,,,
12,AUQ240,,,,,,,,,,
13,AUQ131,,,,,,,,,,
14,AUQ135,,,,,,,,,,
15,AUQ136,,,,,,,,,,
16,AUQ138,,,,,,,,,,
17,AUQ141,,,,,,,,,,
18,AUQ171,,,,,,,,,,
19,AUQ185,,,,,,,,,,
20,AUQ191,,,,,,,,,,
21,AUQ250,,,,,,,,,,
22,AUQ260,,,,,,,,,,
23,AUQ270,,,,,,,,,,
24,AUQ280,,,,,,,,,,
25,AUQ211,,,,,,,,,,
26,AUQ290,,,,,,,,,,
27,AUQ231,,,,,,,,,,
28,AUQ241,,,,,,,,,,
29,AUQ187,,,,,,,,,,
30,AUQ249,,,,,,,,,,
31,AUQ054,,,,,,,,,,
32,AUQ055,,,,,,,,,,
33,AUQ060,,,,,,,,,,
34,AUQ070,,,,,,,,,,
35,AUQ080,,,,,,,,,,
36,AUQ090,,,,,,,,,,
37,AUQ100,,,,,,,,,,
38,AUQ110,,,,,,,,,,
39,AUQ137,,,,,,,,,,
40,AUQ144,,,,,,,,,,
41,AUQ146,,,,,,,,,,
42,AUD148,,,,,,,,,,
43,AUQ152,,,,,,,,,,
44,AUQ154,,,,,,,,,,
45,AUQ255,,,,,,,,,,
46,AUQ300,,,,,,,,,,
47,AUQ310,,,,,,,,,,
48,AUQ320,,,,,,,,,,
49,AUQ330,,,,,,,,,,
50,AUQ340,,,,,,,,,,
51,AUQ350,,,,,,,,,,
52,AUQ360,,,,,,,,,,
53,AUQ370,,,,,,,,,,
54,AUQ380,,,,,,,,,,
55,AUQ390,,,,,,,,,,
56,AUQ331,,,,,,,,,,
57,AUQ361,,,,,,,,,,
58,AUQ381,,,,,,,,,,
59,AUQ395,,,,,,,,,,
60,AUQ400,,,,,,,,,,
61,AUQ410a,,,,,,,,,,
62,AUQ410b,,,,,,,,,,
63,AUQ410c,,,,,,,,,,
64,AUQ410d,,,,,,,,,,
65,AUQ410e,,,,,,,,,,
66,AUQ410f,,,,,,,,,,
67,AUQ410g,,,,,,,,,,
68,AUQ410h,,,,,,,,,,
69,AUQ410i,,,,,,,,,,
70,AUQ410j,,,,,,,,,,
71,AUQ156,,,,,,,,,,
72,AUQ420,,,,,,,,,,
73,AUQ430,,,,,,,,,,
74,AUQ139,,,,,,,,,,
75,AUQ147,,,,,,,,,,
76,AUQ149a,,,,,,,,,,
77,AUQ149b,,,,,,,,,,
78,AUQ149c,,,,,,,,,,
79,AUQ153,,,,,,,,,,
80,AUQ630,,,,,,,,,,
81,AUQ435,,,,,,,,,,
82,AUQ440,,,,,,,,,,
83,AUQ450a,,,,,,,,,,
84,AUQ450b,,,,,,,,,,
85,AUQ450c,,,,,,,,,,
86,AUQ450d,,,,,,,,,,
87,AUQ450e,,,,,,,,,,
88,AUQ450f,,,,,,,,,,
89,AUQ460,,,,,,,,,,
90,AUQ470,,,,,,,,,,
91,AUQ101,,,,,,,,,,
92,AUQ480,,,,,,,,,,
93,AUQ490,,,,,,,,,,
94,AUQ500,,,,,,,,,,
95,AUQ510,,,,,,,,,,
96,AUQ410A,,,,,,,,,,
97,AUQ410B,,,,,,,,,,
98,AUQ410C,,,,,,,,,,
99,AUQ410D,,,,,,,,,,
100,AUQ410E,,,,,,,,,,
101,AUQ410F,,,,,,,,,,
102,AUQ410G,,,,,,,,,,
103,AUQ410H,,,,,,,,,,
104,AUQ410I,,,,,,,,,,
105,AUQ410J,,,,,,,,,,
106,AUQ413,,,,,,,,,,
