,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,SMD460,,,,,,,,,,
2,SMD470,,,,,,,,,,
3,SMAQUEX,,,,,,,,,,
4,SMDANY,,,,,,,,,,
5,SMQ681,,,,,,,,,,
6,SMQ690A,,,,,,,,,,
7,SMQ690B,,,,,,,,,,
8,SMQ690C,,,,,,,,,,
9,SMQ690D,,,,,,,,,,
10,SMQ690E,,,,,,,,,,
11,SMQ690F,,,,,,,,,,
12,SMQ690G,,,,,,,,,,
13,SMQ690H,,,,,,,,,,
14,SMQ690K,,,,,,,,,,
15,SMQ710,,,,,,,,,,
16,SMQ720,,,,,,,,,,
17,SMQ725,,,,,,,,,,
18,SMQ740,,,,,,,,,,
19,SMQ770,,,,,,,,,,
20,SMQ800,,,,,,,,,,
21,SMQ817,,,,,,,,,,
22,SMQ830,,,,,,,,,,
23,SMQ845,,,,,,,,,,
24,SMQ849,,,,,,,,,,
25,SMQ851,,,,,,,,,,
26,SMQ863,,,,,,,,,,
27,SMQ856,,,,,,,,,,
28,SMQ858,,,,,,,,,,
29,SMQ860,,,,,,,,,,
30,SMQ862,,,,,,,,,,
31,SMQ866,,,,,,,,,,
32,SMQ868,,,,,,,,,,
33,SMQ870,,,,,,,,,,
34,SMQ872,,,,,,,,,,
35,SMQ874,,,,,,,,,,
36,SMQ876,,,,,,,,,,
37,SMQ878,,,,,,,,,,
38,SMQ880,,,,,,,,,,
39,SMQ940,,,,,,,,,,
40,SMAQUEX2,,,,,,,,,,
41,SMD030,,,,,,,,,,
42,SMD057,,,,,,,,,,
43,SMD100FL,,,,,,,,,,
44,SMD100MN,,,,,,,,,,
45,SMD630,,,,,,,,,,
46,SMD641,,,,,,,,,,
47,SMD650,,,,,,,,,,
48,SMQ020,,,,,,,,,,
49,SMQ040,,,,,,,,,,
50,SMQ050Q,,,,,,,,,,
51,SMQ050U,,,,,,,,,,
52,SMQ078,,,,,,,,,,
53,SMQ621,,,,,,,,,,
54,SMQ670,,,,,,,,,,
55,SMD410,,,,,,,,,,
56,SMD415,,,,,,,,,,
57,SMD415A,,,,,,,,,,
58,SMD415B,,,,,,,,,,
59,SMD415C,,,,,,,,,,
60,SMD430,,,,,,,,,,
61,SMD440,,,,,,,,,,
62,SMD450,,,,,,,,,,
63,SMD480,,,,,,,,,,
64,SMQ620,,,,,,,,,,
65,SMQ640,,,,,,,,,,
66,SMQ650,,,,,,,,,,
67,SMQ077,,,,,,,,,,
68,SMQ660,,,,,,,,,,
69,SMQ662,,,,,,,,,,
70,SMQ664B,,,,,,,,,,
71,SMQ664C,,,,,,,,,,
72,SMQ664M,,,,,,,,,,
73,SMQ664O,,,,,,,,,,
74,SMQ664W,,,,,,,,,,
75,SMQ666B,,,,,,,,,,
76,SMQ666C,,,,,,,,,,
77,SMQ666K,,,,,,,,,,
78,SMQ666M,,,,,,,,,,
79,SMQ666N,,,,,,,,,,
80,SMQ666O,,,,,,,,,,
81,SMQ666S,,,,,,,,,,
82,SMQ666W,,,,,,,,,,
83,SMQ680,,,,,,,,,,
84,SMQ700,,,,,,,,,,
85,SMQ750,,,,,,,,,,
86,SMQ755,,,,,,,,,,
87,SMQ780,,,,,,,,,,
88,SMQ785,,,,,,,,,,
89,SMQ815,,,,,,,,,,
90,SMQ819,,,,,,,,,,
91,SMQ840,,,,,,,,,,
92,SMD680,,,,,,,,,,
93,SMD690A,,,,,,,,,,
94,SMD690B,,,,,,,,,,
95,SMD690C,,,,,,,,,,
96,SMD690D,,,,,,,,,,
97,SMD690F,,,,,,,,,,
98,SMD710,,,,,,,,,,
99,SMD720,,,,,,,,,,
100,SMD740,,,,,,,,,,
101,SMD750,,,,,,,,,,
102,SMD770,,,,,,,,,,
103,SMD780,,,,,,,,,,
104,SMD800,,,,,,,,,,
105,SMD830,,,,,,,,,,
106,SMQ690I,,,,,,,,,,
107,SMQ857,,,,,,,,,,
108,SMQ690J,,,,,,,,,,
109,SMQ861,,,,,,,,,,
110,SMQ857O,,,,,,,,,,
111,SMQ846,,,,,,,,,,
112,SMQ864,,,,,,,,,,
113,SMQ053,,,,,,,,,,
114,SMD055,,,,,,,,,,
115,SMD070,,,,,,,,,,
116,SMD075,,,,,,,,,,
117,SMD080,,,,,,,,,,
118,SMD090,,,,,,,,,,
119,SMD092,,,,,,,,,,
120,SMDUPCA,,,,,,,,,,
121,SMD100BR,,,,,,,,,,
122,SMD100LN,,,,,,,,,,
123,SMD100TR,,,,,,,,,,
124,SMD100NI,,,,,,,,,,
125,SMD100CO,,,,,,,,,,
126,SMQ120,,,,,,,,,,
127,SMD130,,,,,,,,,,
128,SMQ140,,,,,,,,,,
129,SMQ143,,,,,,,,,,
130,SMQ145,,,,,,,,,,
131,SMQ150,,,,,,,,,,
132,SMD160,,,,,,,,,,
133,SMQ170,,,,,,,,,,
134,SMQ173,,,,,,,,,,
135,SMQ175,,,,,,,,,,
136,SMQ180,,,,,,,,,,
137,SMD190,,,,,,,,,,
138,SMQ200,,,,,,,,,,
139,SMD203,,,,,,,,,,
140,SMQ205,,,,,,,,,,
141,SMQ210,,,,,,,,,,
142,SMD220,,,,,,,,,,
143,SMQ230,,,,,,,,,,
144,SMD233,,,,,,,,,,
145,SMD235,,,,,,,,,,
146,SMD093,,,,,,,,,,
147,SMQ661,,,,,,,,,,
148,SMQ665A,,,,,,,,,,
149,SMQ665B,,,,,,,,,,
150,SMQ665C,,,,,,,,,,
151,SMQ665D,,,,,,,,,,
152,SMQ848,,,,,,,,,,
153,SMQ852Q,,,,,,,,,,
154,SMQ852U,,,,,,,,,,
155,SMQ925,,,,,,,,,,
156,SMQ930,,,,,,,,,,
157,SMQ935,,,,,,,,,,
158,SMQ080,,,,,,,,,,
159,SMQ890,,,,,,,,,,
160,SMQ895,,,,,,,,,,
161,SMQ900,,,,,,,,,,
162,SMQ905,,,,,,,,,,
163,SMQ910,,,,,,,,,,
164,SMQ915,,,,,,,,,,
