Years,Lab Method Name,Documentation,Release Date,PDF Link
2019-2020,BIOPRO - Lactate Dehydrogenase (LDH),[PDF - 898 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-LDH-508.pdf
2017-2018,BIOPRO - Phosphorus,[PDF - 895 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Phosphorus-508.pdf
2019-2020,BIOPRO - Phosphorus,[PDF - 918 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Phosphorus-508.pdf
2017-2018,BIOPRO - Potassium,[PDF - 879 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Potassium-508.pdf
2019-2020,BIOPRO - Potassium,[PDF - 869 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Potassium-508.pdf
2017-2018,BIOPRO - Sodium,[PDF - 885 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Sodium-508.pdf
2019-2020,BIOPRO - Sodium,[PDF - 877 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Sodium-508.pdf
2017-2018,BIOPRO - Total Bilirubin,[PDF - 893 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Bilirubin-508.pdf
2019-2020,BIOPRO - Total Bilirubin,[PDF - 891 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Total Bilirubin-508.pdf
2017-2018,BIOPRO - Total Calcium,[PDF - 876 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Calcium-508.pdf
2019-2020,BIOPRO - Total Calcium,[PDF - 875 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Total Calcium-508.pdf
2017-2018,BIOPRO - Total Cholesterol - Refrigerated,[PDF - 909 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Cholesterol-508.pdf
2019-2020,BIOPRO - Total Cholesterol - Refrigerated,[PDF - 881 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Total Cholesterol-508.pdf
2017-2018,BIOPRO - Total Protein,[PDF - 903 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Total-Protein-508.pdf
2019-2020,BIOPRO - Total Protein,[PDF - 898 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Total Protein-508.pdf
2017-2018,BIOPRO - Triglycerides - Refrigerated,[PDF - 911 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Triglycerides-508.pdf
2019-2020,BIOPRO - Triglycerides - Refrigerated,[PDF - 907 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Triglycerides-508.pdf
2017-2018,BIOPRO - Uric Acid,[PDF - 903 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-J-MET-Uric-Acid-508.pdf
2019-2020,BIOPRO - Uric Acid,[PDF - 902 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/BIOPRO-K-MET-Uric acid-508.pdf
2017-2018,"Cadmium, Lead, Manganese, Mercury, and Selenium",[PDF - 1.74 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PBCD-J-PBY-J-R-MET-508.pdf
2019-2020,"Cadmium, Lead, Manganese, Mercury, and Selenium - Blood",[PDF - 3.07 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PBCD-K-PBY-K-R-MET-508.pdf
2017-2018,Chlamydia,[PDF - 691 KB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CHLA-J-R-CHLM-J-R-MET-508.pdf
2019-2020,Chlamydia,[PDF - 680 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CHLA-K-R-CHLM-K-R-MET-508.pdf
2017-2018,Chromium and Cobalt,[PDF - 2.13 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CRCO-J-MET-508.pdf
2019-2020,Chromium and Cobalt,[PDF - 1.94 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CRCO-K-MET-508.pdf
2017-2018,Complete Blood Count,[PDF - 11.3 MB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CBC-J-MET-508.pdf
2019-2020,Complete Blood Count,[PDF - 11.7 MB],June 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CBC-K-MET-508.pdf
2017-2018,Cotinine and Hydroxycotinine in Serum,[PDF - 1.45 MB],March 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/COT-J-MET-508.pdf
2019-2020,Cotinine and Hydroxycotinine in Serum,[PDF - 1.64 MB],July 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/COT-K-R-MET-508.pdf
2019-2020,Creatinine,[PDF - 787 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ALB-CR-K-MET-Urine-Creatinine-508.pdf
2017-2018,Cytomegalovirus (CMV) Serology,[PDF - 644 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CMV-J-MET-508.pdf
2019-2020,Cytomegalovirus (CMV) Serology,[PDF - 684 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/CMV-K-MET-508.pdf
2017-2018,Direct HDL,[PDF - 751 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HDL-J-MET-508.pdf
2019-2020,Direct HDL,[PDF - 743 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HDL-K-MET-508.pdf
2017-2018,Ethylene Oxide,[PDF - 2.10 MB],February 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ETHOX-J-MET-508.pdf
2019-2020,Ethylene Oxide,[PDF - 2.10 MB],February 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ETHOX-K-MET-508.pdf
2019-2020,Fatty Acids - RBC,[PDF - 6.68 MB],July 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FAR-K-R-MET-508.pdf
2017-2018,Ferritin,[PDF - 966 KB],April 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FERTIN-J-MET-508.pdf
2019-2020,Ferritin,[PDF - 0.98 MB],July 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FERTIN-K-MET-508.pdf
2017-2018,Flame Retardants - Urine,[PDF - 1.22 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FR-J-MET-508.pdf
2019-2020,Flame Retardants and OP Pesticides in Urine,[PDF - 1.23 MB],November 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/OPD-K-R-MET-508.pdf
2019-2020,Flame Retardants-Urine,[PDF - 1.40 MB],May 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FR-K-R-MET-508.pdf
2019-2020,Fluoride - Water,[PDF - 1.69 MB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FLDW-K-R-MET-508.pdf
2017-2018,Folate - RBC,[PDF - 1.39 MB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FOLATE-J-MET-508.pdf
2019-2020,Folate - RBC,[PDF - 1.46 MB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FOLATE-K-MET-508.pdf
2017-2018,Folate Forms,[PDF - 2.05 MB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FOLFMS-J-MET-508.pdf
