Years,Lab Method Name,Documentation,Release Date,PDF Link
2017-2018,Sex Hormone-Binding Globulin,[PDF - 1.18 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-SHBG-508.pdf
2019-2020,Sex Hormone-Binding Globulin,[PDF - 971 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TST-K-R-SHBG-MET-508.pdf
2019-2020,Thyroglobulin,[PDF - 802 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-Thyroglobulin-508.pdf
2019-2020,Thyroglobulin Antibodies,[PDF - 795 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-Thyroglobulin-Antibodies-508.pdf
2017-2018,Total Cholesterol (Frozen),[PDF - 758 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TCHOL-J-MET-508.pdf
2019-2020,Total Cholesterol (Frozen),[PDF - 816 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TCHOL-K-MET-508.pdf
2019-2020,TPO Antibodies,[PDF - 796 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-TPO-508.pdf
2017-2018,Transferrin Receptor,[PDF - 1.09 MB],February 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TFR-J-MET-508.pdf
2017-2018,Trichomonas,[PDF - 694 KB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TRIA-J-R-TRIC-J-R-MET-508.pdf
2019-2020,Trichomonas,[PDF - 684 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TRIA-K-R-TRIC-K-R-MET-508.pdf
2019-2020,Triglycerides,[PDF - 752 KB],October 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TRIGLY-K-MET-508.pdf
2019-2020,TSH,[PDF - 749 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-TSH-508.pdf
2019-2020,TT3,[PDF - 800 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-TT3-508.pdf
2019-2020,TT4,[PDF - 803 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/THYROD-K-MET-TT4-508.pdf
2019-2020,Tuberculosis - Quantiferon TB Gold Plus,[PDF - 1.03 MB],January 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TB-K-R-MET-508.pdf
2019-2020,UIBC,[PDF - 891 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FETIB-K-MET-UIBC-508.pdf
2017-2018,"Uninary Perchlorate, Nitrate, and Thiocyanate",[PDF - 1.50 MB],September 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PERNT-J-MET-508.pdf
2017-2018,Urinary Cotinine and Hydroxycotinine,[PDF - 1.42 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UCOT-J-MET-508.pdf
2017-2018,"Urinary metabolites of Benzene, Furfural, 5-Hydroxymethylfurfural, and N-Methyl-2-pyrrolidone",[PDF - 1.65 MB],September 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSUVOC-J-MET-508.pdf
2019-2020,"Urinary metabolites of Benzene, Furfural, 5-Hydroxymethylfurfural, and N-Methyl-2-pyrrolidone",[PDF - 1.64 MB],September 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UVOC2-K-MET-508.pdf
2017-2018,Urinary Nicotine Metabolites and Analogs,[PDF - 1.83 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UCOT-UNICM-J-MET-508.pdf
2017-2018,Urine Albumin,[PDF - 967 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ALB-CR-J-MET-Urine-Albumin-508.pdf
2017-2018,Urine Creatinine,[PDF - 835 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/ALB-CR-J-MET-Urine-Creatinine-508.pdf
2017-2018,"Vitamin A, Vitamin E & Carotenoids",[PDF - 4.11 MB],May 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/VITAEC-J-MET-508.pdf
2017-2018,Vitamin C,[PDF - 1.14 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/VIC-J-MET-508.pdf
2017-2018,Vitamin D,[PDF - 2.35 MB],April 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/VID-J-MET-508.pdf
2019-2020,Volatile Organic Compound (VOC) Metabolites - Urine,[PDF - 2.49 MB],September 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UVOC-K-R-MET-508.pdf
2017-2018,Volatile Organic Compounds (VOCs) & Trihalomethanes/MTBE,[PDF - 5.48 MB],October 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/VOCWB-J-MET-508.pdf
2019-2020,Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE,[PDF - 4.94 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/VOCWB-K-MET-508.pdf
2017-2018,Volatile Organic Compounds (VOCs) Metabolites,[PDF - 2.67 MB],September 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UVOC-J-MET-508.pdf
