Titulo,Descricao,Nome_Modulo,Inline Description,Documento,Link
Interviewer Manuals,,2017-2018,,[PDF - 41.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2017_Interviewer_Procedures_Manual.pdf
Interviewer Manuals,,2019-2020,,[PDF - 47.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2020-Interviewer-Procedures-Manual-508.pdf
Interviewer Manuals,,2017-2018,,[PDF - 22.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2017_MEC_Interviewers_Procedures.pdf
Interviewer Manuals,,2019-2020,,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/../manuals/2020-MEC-Interviewers-Procedures-Manual-508.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2017-2018,,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/Screener_Modules_1_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2019-2020,,[PDF - 176 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SCQ_screener_module_1_K.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2017-2018,,[PDF - 67 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/Screener_Modules_2_and_Interpreter.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,2019-2020,,[PDF - 72.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_screener_module_2_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 37 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CBQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 37.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CBQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 28.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 53.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/2019-2020_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 152 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FSQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HOQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 14.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HOQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 157 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/INQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/INQ_Family_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 13 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OCQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 62.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SUQ_K.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2017-2018,,[PDF - 14 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SMQ_Family_J.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,2019-2020,,[PDF - 14.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SMQ_Family_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 30 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/ACQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 23.2 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/ACQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 91 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/AUQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 58.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/AUQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 47 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/BPQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 19.6 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/BPQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 60 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CDQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 16.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/CDQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 94 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 68.8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DMQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 66 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DEQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 18.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DEQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 86 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DIQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 50.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DIQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 85 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DBQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 121 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DBQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 170 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DSQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DSQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/DLQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/ECQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 44.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/ECQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 55.2 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/FNQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 48 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HIQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 39.8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HIQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 60 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HEQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 15.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HEQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 57 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HUQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 29.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/HUQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 102 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/IMQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 21.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/IMQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 51.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/IFQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 39 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/KIQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 15.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/KIQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 137 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/MCQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/MCQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 128 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OCQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 33.8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OCQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 72 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OHQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 39.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OHQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 51 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OSQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 43.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/OSQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 89 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/PAQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 40.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/PAQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 128 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/PFQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 1.28 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/2020_Handcards_SP.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 63 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SLQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 19.6 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SLQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SMQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 32.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/questionnaires/SMQ_K.pdf
