Lab Method Name,Documentation,Release Date,PDF Link
HPV Serum 4-Multiplex Luminex,[PDF - 77 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/L52SER_C_MET.pdf
HPV Vaginal Swab Digene High Risk,[PDF - 269 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l37_c_met_-hybrid_capture.pdf
HPV Vaginal Swab Linear Array,[PDF - 127 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l37_c_met_dna_extraction_swab.pdf
HPV Vaginal Swab Prototype,[PDF - 133 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l37_c_met_-dna_typing_swab.pdf
Lab 02 Hepatitis A Antibody,[PDF - 127 KB],March 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l02hpa_c_met_hepatitis_a.pdf
Lab 02 Hepatitis B Core Antibody,[PDF - 147 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l02_c_met_hep_b.pdf
Lab 02 Hepatitis B Surface Antibody,[PDF - 151 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l02_c_met_hep_b_surface_antibody.pdf
Lab 02 Hepatitis B Surface Antigen,[PDF - 198 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l02_c_met_hep_b_antigen.pdf
Lab 02 Hepatitis C EIA and RIBA,[PDF - 196 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l02_c_met_hepatitis_c_eia_riba.pdf
Lab 02 Hepatitis D,[PDF - 153 KB],February 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l02_c_met_hep_d.pdf
Lab 03 CD4+ T-Lymphocytes and CD8 T Cells,[PDF - 133 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l03_c_met_cd4_cd8.pdf
Lab 03 HIV Serum EIA and Western Blot Test,[PDF - 103 KB],December 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/L03-C-MET-508.pdf
Lab 03 Urine EIA,[PDF - 58 KB],,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l03_c_met_hiv_urine_eia.pdf
Lab 04 Urinary Perchlorate,[PDF - 236 KB],August 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l04per_c_met_perchlorate.pdf
Lab 04 Volatile Organic Compounds in Blood,[PDF - 370 KB],August 2008,https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/labmethods/l04voc_c_met_blood.pdf
