Title,Description,Module_Name,Document,Link
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 647 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/screener_1.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 31 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/screener_2.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background/Occupation,[PDF - 66 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/fi_dmq_c.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 68 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/fi_fsq_c.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 30 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/fi_hoq_c.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 99 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/fi_inq_c.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Pesticide Use,[PDF - 35 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/fi_puq_c.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Smoking,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/fi_smq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Acculturation,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_acq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Audiometry,[PDF - 34 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_auq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Balance,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_baq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Blood Pressure,[PDF - 48 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_bpq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Cardiovascular Disease,[PDF - 38 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_cdq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Cardiovascular Fitness,[PDF - 29 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_cvq_c.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,Demographics Information,[PDF - 90 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2003/questionnaires/sp_dmq.pdf
